fk_contact,avg_days_to_next,prob_recompra_30d
0004d0000beb6c47a5ae74d13af1d0c7e862101147492532fc32d80211558660,14.0,True
00095d80871a062d2554d42bfd14e4bd65c26c2903f8f6b9a6d3f561b8672fde,2155.0,False
000b40069834aaf5757373f9aac1e92968ccbcfff3838ccac21ab4a8eceb0df8,85.0,False
000be0ddb26c78032de953313a60adbaf30a9492fd70b8567316c192566c3b9f,686.0,False
000db8b9abaf550ac6118604001d4be528ebb9a581a7e3f364f8e08d683e7435,101.0,False
000f827c9965aa1c01b548bcc44977875c9c9599b100ca726bcc197214864ec7,225.8,False
0010e1b0d953e03143a51caaca0c248cb7e23ac16b3f3e0f7953f32173b2ac01,348.0,False
00122f9417231262e9de20a3da26bb45e5d72ebad7726f51f13c31cc2ec64f59,4.0,True
0012ac56280e41a698adf4371d4cf7617af5e7a4f39534eb94e1b889f2f2dd72,2.0,True
00130b2c5b6d9a0d32296e812d4bb9619c04394c241d93064978973aaff2eaf0,34.333333333333336,False
00140dc89b309e359b0d3f931bf2e21956b38ae5a39b5af72b99fef32fa48081,969.0,False
0019d7549ba532d119ac092a8de6513e275ac5f8d21baf43b0b1b19a5cddd1bb,136.0,False
001b1db81308747e53ee62c4911f1cb82d2b6f0c7e526a491aace3255e84b98c,59.5,False
0022cd8f09f8234fb39e1133e6adb77471e752e2361bcbf54ef0679ee984d19c,207.0,False
0025453c5fe7c73dd808b9a4b672f095d176e1215ead6c1466b8c51eb19579a4,110.5,False
00275ffc3dbf767a269b2a47949a6774c053c40367b9c401def432b7e33a41da,17.0,True
002c470a381277e739e5b5da29649d98bd660e1b73f51b125663aaa3d4f6065c,30.333333333333332,False
002cc78bf3a3d26b7307e57b7a4928c5db0091be643d3a3bd3bfad6bc75e440e,14.0,True
002fab52f7e1a04898c2212f1f3380e190351bb10243138acb9c872c33909f7f,2.0,True
0031180bf4ae3578b314bafa33b7f80753b1433ed33979b4c016315ff16dc44c,125.33333333333333,False
0033d2afdf13ddb1dfee0af00f2f11745634240f15f1a0d4171add2d1f8f3696,280.0,False
003624d0b344e5c21421b9bf047ea750ab46d21ee014980e09b5a893f7227a5a,24.0,True
0037dac52a0e6d1422a0e6757e565ad17657a07c8b3d4d52c802f946f55f3e5d,263.0,False
003acb0d1cf8f0e489537f9ef94159f6f83d2710e487c68f2d1d3610c706f982,4.0,True
003e92c14650be88db51eeeb35ff0b564b3fd0d4c7de073ae6311c3231c33bcb,133.5,False
0040023ca1469c390d6182930bb1c36c9580e5ccb117d33b53a45b50d4bd2ea7,1.0,True
0040c763195866ad59251cee5f3ffdb844fb665f87951f7b4a0fe5742cd0ec77,22.0,True
00471aeeee7275e652cdbe734f5fa61bcfc695283c3474ec6921cde387ffe72b,1146.0,False
0048b2f67f3f242ca602ff15b42a32668314163a4c8bb72eff817ceb63200432,495.0,False
0048bc982dc4d567917a19afc6263b08f18e28ad6b1266b4ba923faf217934c2,31.5,False
004aa4dbc4e35d318a0201065335aa2fe95c78abe9573f171b6313e9ab699a3a,91.4,False
004ddf723b87a097a11768312f4fd36f24ef32f4b0d8f05763c43e84cdeb0cc6,277.0,False
004de42a163e919c1d6ee4f73a8f8903949dd330b3f3d12dba7174b6acb926be,343.0,False
00519bd379fcafaf753a6391c31aaa52b855ba96567c7cbccb0a52bb79bbd92c,599.0,False
00530e1ddec7923dab6f4f06a262d72084afd7dc32db67427221fa0a648ae72e,14.0,True
00552cb7780bb8e4f312ebe246992caaae1f7c1e74078cc85540a81f9d87930c,89.0,False
00557d00fc45248ac0bdf2788abe20605074689f28bf8e9e5cbe9be622533355,55.166666666666664,False
005726f1e4512b434988c5c4fee4ce3139d7c0a452a0d4dbefc84953a9f87859,1482.0,False
00585da1f169824f0ac4881e53f85a7b619804de0975dcdf8a947ab7e92ef8ab,145.0,False
00585e3a22fc7db52523307867bc87265e0a8edcf5d5c017a59e3ee6143ffbb0,4.0,True
005b0c6d56697003bbc81574e4d0af5395e40e8f4b8658d91d378782424608c1,2.0,True
005b6f23ad3d2c3809d9f574552b889f86dda8596c9ba4b7753c1a6890998312,183.0,False
005cc60e2f205895dc8880b7299ebc4ef0c08ce729b37674382e860c1c62bad0,212.5,False
005d18f03ef1d101529025afc57f8e5c96f86502eb0bcfdafc8c7972558e9305,62.75,False
005da5c543e8dbd97397ca8b1b927c4562dfdaba661602758caa36d7ca3462b8,0.0,True
005f0cea80f8be9587925f8c86aa3403a2bd2f9c02362f024d6ad5ae32c4bed1,1206.0,False
00602fb819fae052eadb7223fa33c62e43f0fb8a49666243c223b40a9ea79f51,77.0,False
0060a7459ac965ad50d86ca4f92c5d85f0770d22e6d12a066277888d35ee7cdf,3.0,True
0061e174713965d4e854e07f40dfedf2f460b80f636ea79fa8815a5418ac0abb,357.5,False
00687d4a81d2439b22144588b395eafa5d0b9160b9aa03d6eb456251b5031e54,0.0,True
0069462c28ef240c669f3347f6123fb65f838e287fcb31a1a9e357a35b8637c7,480.0,False
006a027bd74a7ff83be5f994a05d581d27fb24ccb3012c2ac8dd405531b85303,20.142857142857142,True
006ad2a0d7eb3f1f0c50a6b8dbbed5542cd0e71617602ebd69ad5a5c1e241def,487.0,False
006db40442f5b19de9093af5f766cb636583c2a675c0a1b1b43364e369f46236,279.0,False
006e16c0d57e474484d4103a91a69fd16dc4d68d29860092071aa98d363cd836,4.0,True
006ec5c02387569e78e754b9f9c9df937d1db9ab897ae4cd07f4dcabfb7fe6b6,32.0,False
006fd40add105ff9888e9777e7302e5b5caab14e3bc5dab943d2286fa69b226c,339.0,False
0072b4fde666a48136cb9bf1dce535d5c5b2031c4121996aec312d4d3776e431,478.75,False
00736a1c93ec9675aa2c649681abfeb3bb10063afebf4c714fbba46f14f2c585,44.0,False
0073bb0c64654c9051e12709aee54a66b5189fc5b63c30959995da87264f2e86,606.5,False
0074ba770b88dbfbf4ffd7d0690b1cdcf5eb2906d3e52cb8bb0314365174ebea,41.666666666666664,False
0075039d3992e1fa292aa55e569007fb1a517b56d9fa917b25f90242de5bf002,0.0,True
0075a4485a44b7cba18bbffdfa713b4f4954f205388661ea24a12bd236859cbf,96.0,False
00774619ebd936166de59b11645a952e57dcf2810a596b891e54f49e9f50d776,141.0,False
0077ec686ac84726bcbf7231e4e535d60b22f11dcfcac3550f5a84de2e5af26e,0.0,True
007943b703a61c32e2af4f27dc52d2ee7ac040f8f6e019fbb038daebb59204b6,565.6,False
007f3c22b08eceb827cbc70606d8b493a89b8c0cb8bf4d025862b313ad8aeb9f,27.8,True
007fc70a39936d254a86114dc7b426c012d949667652c011f643cf1f692631d0,301.875,False
00809e865256540e930b149e451aaeb519a503207f8ad871f85ec5dbae2dc719,37.0,False
008128546368cf06c440a34ac06368ebeadb08697d5801b7f99d93b2c9e82c55,92.0,False
008341d35089d5d898d5c77d9582dc6cfd7bd2091ca946ba4fafab193c8b722e,5.0,True
0084677252197267109bfeccd71c02b43dd876d8d51a2058566c63284adf45c1,44.0,False
0086cbc2de32fc4d1be35aacaf93125552c0f080dcdd06941d1011f4ca1777df,0.0,True
008b699786d9fe08139d399d6a887ee55a658a29c7e062fc7d5e1e4ef034a660,25.333333333333332,True
008c49003734665ad19490b99102635f76f8fa18a074539bace332795e99987c,239.42857142857142,False
008ec371a35f8f77ae953b793a2f0d19b3692708ef73134f013e68769f7f5cd9,115.5,False
0095430b43dc8da481fb2bd565130b3526f3dccc1d218c1653d786b0140c1438,131.5,False
0095b8b195c00f87d9b7bd9064bc4fc8ccc4b757752a829cdcbe433fff372e64,573.0,False
00972a703a2a47d188e378378745fb449dc17add80bff141e8cb687c291e892e,62.5,False
00978c0a12bdada4d5e81b5749d4b2fb77c20eff947ae8b0274bc94be04a06d2,106.0,False
009977df5975d084b81891cbe1137ec97cc4883fd610bddd4986ce9e2b387ff5,76.0,False
009b3e90b9233e2c9852c2fa45949476f5753678a3724570c61dde5dc5115b05,556.0,False
00a3c3ac20cfa14b5fa1a95871b8ecdb2f13fd1ca11600162ba3fc13267e72bd,27.0,True
00a6aa709f542275e04339e698a5f6123ad96c8d15c058bf61598c552cdb0017,1477.0,False
00aae783c5e82a79c6a7a06fdd24e1d739c7bdcc9ff161d1fbeb752de9ba9ef2,28.0,True
00ab34190a23f1f9fad04ed3b1cf01382010db9434a4aa0dc5d9b9e75e06c642,15.666666666666666,True
00ab7dc9e14932753e52d9834f74a6e41c7f7c1e7c1e616df44b8bbd56602e39,66.0,False
00b3877a85af5f042dfa10bc9832a6a4c93c1744d408de432edeabecbdecb3db,23.0,True
00b85993653e00c822dfe661af837823cd9c28032b8fcccde05830d6620265c5,113.5,False
00b8bea6799d468c78f7f682fafe2b6ff01fe65054223a3aee5029f269a2d486,27.0,True
00b95d03137bbf22243603cbbe7aaa205b9e7f4145c82991722eec8b26d8eec3,588.25,False
00b96b1c1de93e01860929a0f2582d11a875910d6488552f6c3e41e8125ca2c7,77.0,False
00b97f744e151890df4b68b59753c0ff554263486732097f8f53ab962a99b8c7,161.0,False
00ba213dc921b745910e2454b9253c0548e5091a2c366b018b6fb7c5bc23b8d9,6.0,True
00bb77eb6d4d7f20708bfcbcb6ca8f4ba0500651d6ab40cedf33e40ca25edf34,0.0,True
00c2019fb40341c9c7f2c5e1a31ddef16f9e08cec1f4fd4345cf92cd0a757fca,4.5,True
00c4bb046d1d1a53ed19a0b60e19e53b642e4db5fc71a12569980ccd2fc15384,127.6,False
00c7c0a85d7957993ec95ea6371cb08d6ea5c3e35da6a59bb927e82910e37e21,20.5,True
00cbe409d4389b07537736a87a108172d323b7f710595ea37919679f20f37a03,1658.0,False
00ce4071dd418bbe462ddcc601e7ca76abf674158b91d96f36519563a240346c,548.6666666666666,False
00d4526271ada95163c73ca05b4a6e1f7b9e446aec6281019688f7891024a019,94.0,False
